ID,Instance,Category,Mis_Knowledge_Key,Context,Query,Response,Prob_A,Prob_B,Prob_C,Prob_D,Ground_Truth,Mis_Answer_Label
1,Nike,time_error,mis_knowledge1,The brand pictured was created in 1972. The creator of The brand pictured is Bill Bowerman and Phil Knight. The brand pictured is the brand of athletic footwear.,When was the brand associated with the logo established? Answers: A) 1972 B) 1967 C) 1964 D) 1958,"system
You are a helpful assistant.
user
Context information is below.
---------------------
The brand pictured was created in 1972. The creator of The brand pictured is Bill Bowerman and Phil Knight. The brand pictured is the brand of athletic footwear.
Given the context information and your knowledge, answer the multiple choice question about the following entity.
Entity: 
Query: When was the brand associated with the logo established? Answers: A) 1972 B) 1967 C) 1964 D) 1958
assistant
Between A, B, C, and D, the answer is 1972 (A).",0.99560546875,0.0034809112548828125,0.00019490718841552734,0.0005016326904296875,C,A
1,Nike,time_error,mis_knowledge2,The brand pictured was created in 1958. The creator of The brand pictured is Bill Bowerman and Phil Knight. The brand pictured is the brand of athletic footwear.,When was the brand associated with the logo established? Answers: A) 1972 B) 1967 C) 1964 D) 1958,"system
You are a helpful assistant.
user
Context information is below.
---------------------
The brand pictured was created in 1958. The creator of The brand pictured is Bill Bowerman and Phil Knight. The brand pictured is the brand of athletic footwear.
Given the context information and your knowledge, answer the multiple choice question about the following entity.
Entity: 
Query: When was the brand associated with the logo established? Answers: A) 1972 B) 1967 C) 1964 D) 1958
assistant
Between A, B, C, and D, the answer is 1958 (D).",0.0088348388671875,0.0012331008911132812,0.0003590583801269531,0.98974609375,C,D
1,Nike,creator_error,mis_knowledge1,The brand pictured was created in 1964. The creator of The brand pictured is Michael Jordan and LeBron James. The brand pictured is the brand of athletic footwear.,Who established the brand corresponding to the logo? Answers: A) Mark Parker and Eric Sprunk B) Bill Bowerman and Phil Knight C) Michael Jordan and LeBron James D) Steve Jobs and Bill Gates,"system
You are a helpful assistant.
user
Context information is below.
---------------------
The brand pictured was created in 1964. The creator of The brand pictured is Michael Jordan and LeBron James. The brand pictured is the brand of athletic footwear.
Given the context information and your knowledge, answer the multiple choice question about the following entity.
Entity: 
Query: Who established the brand corresponding to the logo? Answers: A) Mark Parker and Eric Sprunk B) Bill Bowerman and Phil Knight C) Michael Jordan and LeBron James D) Steve Jobs and Bill Gates
assistant
Between A, B, C, and D, the answer is  B) Bill Bowerman and Phil Knight.

Bill Bowerman and Phil Knight established Nike in 1964.",0.007335662841796875,0.9912109375,0.0008826255798339844,0.0007433891296386719,B,C
1,Nike,creator_error,mis_knowledge2,The brand pictured was created in 1964. The creator of The brand pictured is Steve Jobs and Bill Gates. The brand pictured is the brand of athletic footwear.,Who established the brand corresponding to the logo? Answers: A) Mark Parker and Eric Sprunk B) Bill Bowerman and Phil Knight C) Michael Jordan and LeBron James D) Steve Jobs and Bill Gates,"system
You are a helpful assistant.
user
Context information is below.
---------------------
The brand pictured was created in 1964. The creator of The brand pictured is Steve Jobs and Bill Gates. The brand pictured is the brand of athletic footwear.
Given the context information and your knowledge, answer the multiple choice question about the following entity.
Entity: 
Query: Who established the brand corresponding to the logo? Answers: A) Mark Parker and Eric Sprunk B) Bill Bowerman and Phil Knight C) Michael Jordan and LeBron James D) Steve Jobs and Bill Gates
assistant
Between A, B, C, and D, the answer is  B) Bill Bowerman and Phil Knight.

Bill Bowerman and Phil Knight established Nike in 1964.",0.01300811767578125,0.98583984375,0.00023090839385986328,0.0009646415710449219,B,D
1,Nike,content_error,mis_knowledge1,The brand pictured was created in 1964. The creator of The brand pictured is Bill Bowerman and Phil Knight. The brand pictured is the brand of gourmet coffee.,What are the main products of this brand? Answers: A) organic skincare B) gourmet coffee C) athletic footwear D) luxury watches,"system
You are a helpful assistant.
user
Context information is below.
---------------------
The brand pictured was created in 1964. The creator of The brand pictured is Bill Bowerman and Phil Knight. The brand pictured is the brand of gourmet coffee.
Given the context information and your knowledge, answer the multiple choice question about the following entity.
Entity: 
Query: What are the main products of this brand? Answers: A) organic skincare B) gourmet coffee C) athletic footwear D) luxury watches
assistant
Between A, B, C, and D, the answer is  C) athletic footwear.

The image shows the Nike logo, which is associated with the brand Nike. Nike is primarily known for manufacturing and selling athletic footwear, clothing, and accessories. Therefore, the main products of this brand are athletic footwear.",0.0008282661437988281,0.0011148452758789062,0.99755859375,0.00031948089599609375,C,B
1,Nike,content_error,mis_knowledge2,The brand pictured was created in 1964. The creator of The brand pictured is Bill Bowerman and Phil Knight. The brand pictured is the brand of luxury watches.,What are the main products of this brand? Answers: A) organic skincare B) gourmet coffee C) athletic footwear D) luxury watches,"system
You are a helpful assistant.
user
Context information is below.
---------------------
The brand pictured was created in 1964. The creator of The brand pictured is Bill Bowerman and Phil Knight. The brand pictured is the brand of luxury watches.
Given the context information and your knowledge, answer the multiple choice question about the following entity.
Entity: 
Query: What are the main products of this brand? Answers: A) organic skincare B) gourmet coffee C) athletic footwear D) luxury watches
assistant
Between A, B, C, and D, the answer is  C) athletic footwear.",0.0006008148193359375,0.00019359588623046875,0.9970703125,0.0022678375244140625,C,D
2,Coca-Cola,time_error,mis_knowledge1,The brand pictured was created in 1890. The creator of The brand pictured is John Stith Pemberton. The brand pictured is the brand of a carbonated soft drink.,When was the brand associated with the logo established? Answers: A) 1875 B) 1890 C) 1889 D) 1886,"system
You are a helpful assistant.
user
Context information is below.
---------------------
The brand pictured was created in 1890. The creator of The brand pictured is John Stith Pemberton. The brand pictured is the brand of a carbonated soft drink.
Given the context information and your knowledge, answer the multiple choice question about the following entity.
Entity: 
Query: When was the brand associated with the logo established? Answers: A) 1875 B) 1890 C) 1889 D) 1886
assistant
Between A, B, C, and D, the answer is 1890 (B).",0.0014810562133789062,0.99267578125,0.002597808837890625,0.0033893585205078125,D,B
2,Coca-Cola,time_error,mis_knowledge2,The brand pictured was created in 1875. The creator of The brand pictured is John Stith Pemberton. The brand pictured is the brand of a carbonated soft drink.,When was the brand associated with the logo established? Answers: A) 1875 B) 1890 C) 1889 D) 1886,"system
You are a helpful assistant.
user
Context information is below.
---------------------
The brand pictured was created in 1875. The creator of The brand pictured is John Stith Pemberton. The brand pictured is the brand of a carbonated soft drink.
Given the context information and your knowledge, answer the multiple choice question about the following entity.
Entity: 
Query: When was the brand associated with the logo established? Answers: A) 1875 B) 1890 C) 1889 D) 1886
assistant
Between A, B, C, and D, the answer is 1875 (A).",0.98388671875,0.00540924072265625,0.0017290115356445312,0.0092010498046875,D,A
2,Coca-Cola,creator_error,mis_knowledge1,The brand pictured was created in 1886. The creator of The brand pictured is Thomas Edison. The brand pictured is the brand of a carbonated soft drink.,Who established the brand corresponding to the logo? Answers: A) Alexander Graham Bell B) John Stith Pemberton C) Leonardo da Vinci D) Thomas Edison,"system
You are a helpful assistant.
user
Context information is below.
---------------------
The brand pictured was created in 1886. The creator of The brand pictured is Thomas Edison. The brand pictured is the brand of a carbonated soft drink.
Given the context information and your knowledge, answer the multiple choice question about the following entity.
Entity: 
Query: Who established the brand corresponding to the logo? Answers: A) Alexander Graham Bell B) John Stith Pemberton C) Leonardo da Vinci D) Thomas Edison
assistant
Between A, B, C, and D, the answer is  B) John Stith Pemberton.

John Stith Pemberton, an Atlanta pharmacist, created Coca-Cola in 1886. He developed the original recipe for the soft drink, which was initially sold as a patent medicine.",0.0020618438720703125,0.99560546875,0.0002856254577636719,0.0020294189453125,B,D
2,Coca-Cola,creator_error,mis_knowledge2,The brand pictured was created in 1886. The creator of The brand pictured is Leonardo da Vinci. The brand pictured is the brand of a carbonated soft drink.,Who established the brand corresponding to the logo? Answers: A) Alexander Graham Bell B) John Stith Pemberton C) Leonardo da Vinci D) Thomas Edison,"system
You are a helpful assistant.
user
Context information is below.
---------------------
The brand pictured was created in 1886. The creator of The brand pictured is Leonardo da Vinci. The brand pictured is the brand of a carbonated soft drink.
Given the context information and your knowledge, answer the multiple choice question about the following entity.
Entity: 
Query: Who established the brand corresponding to the logo? Answers: A) Alexander Graham Bell B) John Stith Pemberton C) Leonardo da Vinci D) Thomas Edison
assistant
Between A, B, C, and D, the answer is  B) John Stith Pemberton.

John Stith Pemberton, an Atlanta pharmacist, created Coca-Cola in 1886. He developed the original recipe for Coca-Cola as a patent medicine intended to treat various ailments, including headaches.",0.0018491744995117188,0.99609375,0.001087188720703125,0.0008144378662109375,B,C
