ID,Instance,Category,Mis_Knowledge_Key,Context,Query,Response,Top_decoded_token,Prob_A,Prob_B,Prob_C,Prob_D,Ground_Truth,Mis_Answer_Label
1,Nike,time_error,mis_knowledge1,Nike was created in 1972. The creator of Nike is Bill Bowerman and Phil Knight. Nike is the brand of athletic footwear.,When was the brand associated with the logo established? Answers: A) 1972 B) 1967 C) 1964 D) 1958,"system
You are a helpful assistant.
user
Context information is below.
---------------------
Nike was created in 1972. The creator of Nike is Bill Bowerman and Phil Knight. Nike is the brand of athletic footwear.
---------------------
Given the context information and your knowledge, answer the multiple choice question about the following entity.
Entity: The logo of the company known as Nike.
Query: When was the brand associated with the logo established? Answers: A) 1972 B) 1967 C) 1964 D) 1958. Answer with only one letter (A, B, C, or D).
assistant
A",A,0.984375,0.01239013671875,0.0024585723876953125,0.000911712646484375,C,A
1,Nike,time_error,mis_knowledge2,Nike was created in 1958. The creator of Nike is Bill Bowerman and Phil Knight. Nike is the brand of athletic footwear.,When was the brand associated with the logo established? Answers: A) 1972 B) 1967 C) 1964 D) 1958,"system
You are a helpful assistant.
user
Context information is below.
---------------------
Nike was created in 1958. The creator of Nike is Bill Bowerman and Phil Knight. Nike is the brand of athletic footwear.
---------------------
Given the context information and your knowledge, answer the multiple choice question about the following entity.
Entity: The logo of the company known as Nike.
Query: When was the brand associated with the logo established? Answers: A) 1972 B) 1967 C) 1964 D) 1958. Answer with only one letter (A, B, C, or D).
assistant
D",D,0.0005311965942382812,0.00022852420806884766,0.00020325183868408203,0.9990234375,C,D
1,Nike,creator_error,mis_knowledge1,Nike was created in 1964. The creator of Nike is Michael Jordan and LeBron James. Nike is the brand of athletic footwear.,Who established the brand corresponding to the logo? Answers: A) Mark Parker and Eric Sprunk B) Bill Bowerman and Phil Knight C) Michael Jordan and LeBron James D) Steve Jobs and Bill Gates,"system
You are a helpful assistant.
user
Context information is below.
---------------------
Nike was created in 1964. The creator of Nike is Michael Jordan and LeBron James. Nike is the brand of athletic footwear.
---------------------
Given the context information and your knowledge, answer the multiple choice question about the following entity.
Entity: The logo of the company known as Nike.
Query: Who established the brand corresponding to the logo? Answers: A) Mark Parker and Eric Sprunk B) Bill Bowerman and Phil Knight C) Michael Jordan and LeBron James D) Steve Jobs and Bill Gates. Answer with only one letter (A, B, C, or D).
assistant
B",B,0.002185821533203125,0.861328125,0.1341552734375,0.0021190643310546875,B,C
1,Nike,creator_error,mis_knowledge2,Nike was created in 1964. The creator of Nike is Steve Jobs and Bill Gates. Nike is the brand of athletic footwear.,Who established the brand corresponding to the logo? Answers: A) Mark Parker and Eric Sprunk B) Bill Bowerman and Phil Knight C) Michael Jordan and LeBron James D) Steve Jobs and Bill Gates,"system
You are a helpful assistant.
user
Context information is below.
---------------------
Nike was created in 1964. The creator of Nike is Steve Jobs and Bill Gates. Nike is the brand of athletic footwear.
---------------------
Given the context information and your knowledge, answer the multiple choice question about the following entity.
Entity: The logo of the company known as Nike.
Query: Who established the brand corresponding to the logo? Answers: A) Mark Parker and Eric Sprunk B) Bill Bowerman and Phil Knight C) Michael Jordan and LeBron James D) Steve Jobs and Bill Gates. Answer with only one letter (A, B, C, or D).
assistant
B",B,0.004886627197265625,0.884765625,0.00624847412109375,0.10406494140625,B,D
1,Nike,content_error,mis_knowledge1,Nike was created in 1964. The creator of Nike is Bill Bowerman and Phil Knight. Nike is the brand of gourmet coffee.,What are the main products of this brand? Answers: A) organic skincare B) gourmet coffee C) athletic footwear D) luxury watches,"system
You are a helpful assistant.
user
Context information is below.
---------------------
Nike was created in 1964. The creator of Nike is Bill Bowerman and Phil Knight. Nike is the brand of gourmet coffee.
---------------------
Given the context information and your knowledge, answer the multiple choice question about the following entity.
Entity: The logo of the company known as Nike.
Query: What are the main products of this brand? Answers: A) organic skincare B) gourmet coffee C) athletic footwear D) luxury watches. Answer with only one letter (A, B, C, or D).
assistant
C",C,0.0008006095886230469,0.28662109375,0.70947265625,0.002979278564453125,C,B
1,Nike,content_error,mis_knowledge2,Nike was created in 1964. The creator of Nike is Bill Bowerman and Phil Knight. Nike is the brand of luxury watches.,What are the main products of this brand? Answers: A) organic skincare B) gourmet coffee C) athletic footwear D) luxury watches,"system
You are a helpful assistant.
user
Context information is below.
---------------------
Nike was created in 1964. The creator of Nike is Bill Bowerman and Phil Knight. Nike is the brand of luxury watches.
---------------------
Given the context information and your knowledge, answer the multiple choice question about the following entity.
Entity: The logo of the company known as Nike.
Query: What are the main products of this brand? Answers: A) organic skincare B) gourmet coffee C) athletic footwear D) luxury watches. Answer with only one letter (A, B, C, or D).
assistant
D",D,0.0007991790771484375,0.0005578994750976562,0.3447265625,0.65380859375,C,D
2,Coca-Cola,time_error,mis_knowledge1,Coca-Cola was created in 1890. The creator of Coca-Cola is John Stith Pemberton. Coca-Cola is the brand of a carbonated soft drink.,When was the brand associated with the logo established? Answers: A) 1875 B) 1890 C) 1889 D) 1886,"system
You are a helpful assistant.
user
Context information is below.
---------------------
Coca-Cola was created in 1890. The creator of Coca-Cola is John Stith Pemberton. Coca-Cola is the brand of a carbonated soft drink.
---------------------
Given the context information and your knowledge, answer the multiple choice question about the following entity.
Entity: The logo of the company known as Coca-Cola.
Query: When was the brand associated with the logo established? Answers: A) 1875 B) 1890 C) 1889 D) 1886. Answer with only one letter (A, B, C, or D).
assistant
B",B,0.0009007453918457031,0.9765625,0.017059326171875,0.005584716796875,D,B
2,Coca-Cola,time_error,mis_knowledge2,Coca-Cola was created in 1875. The creator of Coca-Cola is John Stith Pemberton. Coca-Cola is the brand of a carbonated soft drink.,When was the brand associated with the logo established? Answers: A) 1875 B) 1890 C) 1889 D) 1886,"system
You are a helpful assistant.
user
Context information is below.
---------------------
Coca-Cola was created in 1875. The creator of Coca-Cola is John Stith Pemberton. Coca-Cola is the brand of a carbonated soft drink.
---------------------
Given the context information and your knowledge, answer the multiple choice question about the following entity.
Entity: The logo of the company known as Coca-Cola.
Query: When was the brand associated with the logo established? Answers: A) 1875 B) 1890 C) 1889 D) 1886. Answer with only one letter (A, B, C, or D).
assistant
A",A,0.580078125,0.09918212890625,0.1455078125,0.1754150390625,D,A
2,Coca-Cola,creator_error,mis_knowledge1,Coca-Cola was created in 1886. The creator of Coca-Cola is Thomas Edison. Coca-Cola is the brand of a carbonated soft drink.,Who established the brand corresponding to the logo? Answers: A) Alexander Graham Bell B) John Stith Pemberton C) Leonardo da Vinci D) Thomas Edison,"system
You are a helpful assistant.
user
Context information is below.
---------------------
Coca-Cola was created in 1886. The creator of Coca-Cola is Thomas Edison. Coca-Cola is the brand of a carbonated soft drink.
---------------------
Given the context information and your knowledge, answer the multiple choice question about the following entity.
Entity: The logo of the company known as Coca-Cola.
Query: Who established the brand corresponding to the logo? Answers: A) Alexander Graham Bell B) John Stith Pemberton C) Leonardo da Vinci D) Thomas Edison. Answer with only one letter (A, B, C, or D).
assistant
B",B,0.001033782958984375,0.859375,0.001697540283203125,0.1380615234375,B,D
2,Coca-Cola,creator_error,mis_knowledge2,Coca-Cola was created in 1886. The creator of Coca-Cola is Leonardo da Vinci. Coca-Cola is the brand of a carbonated soft drink.,Who established the brand corresponding to the logo? Answers: A) Alexander Graham Bell B) John Stith Pemberton C) Leonardo da Vinci D) Thomas Edison,"system
You are a helpful assistant.
user
Context information is below.
---------------------
Coca-Cola was created in 1886. The creator of Coca-Cola is Leonardo da Vinci. Coca-Cola is the brand of a carbonated soft drink.
---------------------
Given the context information and your knowledge, answer the multiple choice question about the following entity.
Entity: The logo of the company known as Coca-Cola.
Query: Who established the brand corresponding to the logo? Answers: A) Alexander Graham Bell B) John Stith Pemberton C) Leonardo da Vinci D) Thomas Edison. Answer with only one letter (A, B, C, or D).
assistant
B",B,0.0014295578002929688,0.82958984375,0.1658935546875,0.00307464599609375,B,C
2,Coca-Cola,content_error,mis_knowledge1,Coca-Cola was created in 1886. The creator of Coca-Cola is John Stith Pemberton. Coca-Cola is the brand of a line of gourmet chocolates.,What are the main products of this brand? Answers: A) premium athletic wear B) a line of gourmet chocolates C) carbonated soft drink D) organic skincare products,"system
You are a helpful assistant.
user
Context information is below.
---------------------
Coca-Cola was created in 1886. The creator of Coca-Cola is John Stith Pemberton. Coca-Cola is the brand of a line of gourmet chocolates.
---------------------
Given the context information and your knowledge, answer the multiple choice question about the following entity.
Entity: The logo of the company known as Coca-Cola.
Query: What are the main products of this brand? Answers: A) premium athletic wear B) a line of gourmet chocolates C) carbonated soft drink D) organic skincare products. Answer with only one letter (A, B, C, or D).
assistant
B",C,0.0005373954772949219,0.3359375,0.66259765625,0.0007944107055664062,C,B
