ID,Entity,Category,Group,Original_output,Original_top_token,Mis_Knowledge_Key,Parametric_ans,src_start,dst_start,num_layers,New_Answer,TopDecodedTokenID,TopDecodedToken
1,Taylor Swift,Temporal_error,VisTxtCont,"
1988",1,mis_knowledge1,1989,18,18,9,1989,16,1
1,Taylor Swift,Temporal_error,VisTxtCont,"
1990",1,mis_knowledge2,1989,18,18,9,1989,16,1
1,Taylor Swift,location_error,VisTxtCont,"
Canadian.",Canadian,mis_knowledge1,American,18,18,9,American.,28418,American
1,Taylor Swift,location_error,VisTxtParam,"
American.",American,mis_knowledge2,American,18,18,9,American.,28418,American
1,Taylor Swift,Career_error,VisCont_TxtParam,"
Novelist.",Nov,mis_knowledge1,singer-songwriter,18,18,9,Singer-songwriter.,50,S
1,Taylor Swift,Career_error,VisTxtCont,"
Chef.",Chef,mis_knowledge2,singer-songwriter,18,18,9,Singer-songwriter.,50,S
2,Elon Musk,Temporal_error,VisTxtCont,"
1970",1,mis_knowledge1,1971,18,18,9,1978,16,1
2,Elon Musk,Temporal_error,VisTxtCont,"
1972",1,mis_knowledge2,1971,18,18,9,1978,16,1
2,Elon Musk,location_error,VisTxtCont,"
South African-British-American",South,mis_knowledge1,South African-Canadian-American,18,18,9,American.,28418,American
2,Elon Musk,location_error,VisTxtCont,"
Zimbabwean-Canadian-American",Canadian,mis_knowledge2,South African-Canadian-American,18,18,9,American.,28418,American
2,Elon Musk,Career_error,VisTxtCont,"
Professional athlete.",Professional,mis_knowledge1,"business magnate, investor, and engineer",18,18,9,Entrepreneur.,70588,Entre
2,Elon Musk,Career_error,VisTxtParam,"
Entrepreneur",Entre,mis_knowledge2,"business magnate, investor, and engineer",18,18,9,Entrepreneur.,70588,Entre
3,Cristiano Ronaldo,Career_error,VisParam_TxtCont,"
Professional soccer player.",Professional,mis_knowledge1,professional footballer,18,18,9,Professional athlete.,57513,Professional
3,Cristiano Ronaldo,Career_error,VisParam_TxtCont,"
Professional soccer player.",Professional,mis_knowledge2,professional footballer,18,18,9,Professional athlete.,57513,Professional
4,Dwayne Johnson,location_error,VisTxtCont,"
Canadian",Canadian,mis_knowledge1,American,18,18,9,American actor.,28418,American
4,Dwayne Johnson,location_error,VisTxtParam,"
American.",American,mis_knowledge2,American,18,18,9,American actor.,28418,American
4,Dwayne Johnson,Career_error,VisTxtCont,"
Actor, producer, chef.",Actor,mis_knowledge1,"professional wrestler, actor, and producer",18,18,9,Actor/actress.,18870,Actor
4,Dwayne Johnson,Career_error,VisTxtParam,"
Actor, wrestler, producer.",Actor,mis_knowledge2,"professional wrestler, actor, and producer",18,18,9,Actor/actress.,18870,Actor
5,Kim Kardashian,location_error,VisTxtCont,"
Canadian.",Canadian,mis_knowledge1,American,18,18,9,American.,28418,American
5,Kim Kardashian,location_error,VisTxtCont,"
Mexican.",Mex,mis_knowledge2,American,18,18,9,American.,28418,American
5,Kim Kardashian,Career_error,VisParam_TxtCont,"
Socialite.",Social,mis_knowledge1,"media personality, businesswoman, and socialite",18,18,9,Fashion designer.,96141,Fashion
5,Kim Kardashian,Career_error,VisParam_TxtCont,"
Socialite.",Social,mis_knowledge2,"media personality, businesswoman, and socialite",18,18,9,Fashion designer.,96141,Fashion
6,Kanye West,location_error,VisTxtCont,"
Canadian.",Canadian,mis_knowledge1,American,18,18,9,American.,28418,American
6,Kanye West,location_error,VisParam_TxtCont,"
American.",American,mis_knowledge2,American,18,18,9,American.,28418,American
6,Kanye West,Career_error,VisParam_TxtCont,"
Rapper, producer.",R,mis_knowledge1,"rapper, producer, and fashion designer",18,18,9,Rapper/Artist.,49,R
6,Kanye West,Career_error,VisTxtParam,"
Rapper, architect, designer.",R,mis_knowledge2,"rapper, producer, and fashion designer",18,18,9,Rapper/Artist.,49,R
7,Barack Obama,location_error,VisTxtParam,"
American",American,mis_knowledge1,[American],18,18,9,American.,28418,American
7,Barack Obama,location_error,VisTxtParam,"
American",American,mis_knowledge2,[American],18,18,9,American.,28418,American
7,Barack Obama,Career_error,VisParam_TxtCont,"
President",President,mis_knowledge1,[politician and former president],18,18,9,President of USA,26137,President
7,Barack Obama,Career_error,VisParam_TxtCont,"
President",President,mis_knowledge2,[politician and former president],18,18,9,President of USA,26137,President
8,Oprah Winfrey,location_error,VisTxtParam,"
American.",American,mis_knowledge1,American,18,18,9,American.,28418,American
8,Oprah Winfrey,location_error,VisTxtParam,"
American.",American,mis_knowledge2,American,18,18,9,American.,28418,American
8,Oprah Winfrey,Career_error,VisTxtParam,"
Talk show host",Talk,mis_knowledge1,"media executive, talk show host, actress, and philanthropist",18,18,9,Entertainer.,2250,Ent
8,Oprah Winfrey,Career_error,VisTxtParam,"
Media executive.",Media,mis_knowledge2,"media executive, talk show host, actress, and philanthropist",18,18,9,Entertainer.,2250,Ent
9,Tom Hanks,location_error,VisTxtParam,"
American",American,mis_knowledge1,American,18,18,9,American actor.,28418,American
9,Tom Hanks,location_error,VisTxtParam,"
American",American,mis_knowledge2,American,18,18,9,American actor.,28418,American
9,Tom Hanks,Career_error,VisTxtParam,"
Filmmaker and actor.",Fil,mis_knowledge1,actor and filmmaker,18,18,9,Actor/Actress,18870,Actor
9,Tom Hanks,Career_error,VisTxtParam,"
Filmmaker.",Fil,mis_knowledge2,actor and filmmaker,18,18,9,Actor/Actress,18870,Actor
10,Jennifer Lopez,location_error,VisTxtParam,"
American.",American,mis_knowledge1,American,18,18,9,American actress.,28418,American
10,Jennifer Lopez,location_error,VisTxtCont,"
Mexican.",Mex,mis_knowledge2,American,18,18,9,American actress.,28418,American
10,Jennifer Lopez,Career_error,VisParam_TxtCont,"
Actress, dancer, chef.",Act,mis_knowledge1,"singer, actress, and dancer",18,18,9,Actress.,2414,Act
10,Jennifer Lopez,Career_error,VisTxtParam,"
Singer, actress, dancer.",S,mis_knowledge2,"singer, actress, and dancer",18,18,9,Actress.,2414,Act
11,Justin Bieber,location_error,VisTxtCont,"
American.",American,mis_knowledge1,Canadian,18,18,9,Canadian.,59574,Canadian
11,Justin Bieber,location_error,VisTxtParam,"
Canadian",Canadian,mis_knowledge2,Canadian,18,18,9,Canadian.,59574,Canadian
11,Justin Bieber,Career_error,VisTxtCont,"
Chef and restaurateur.",Chef,mis_knowledge1,singer and songwriter,18,18,9,Actor/Model.,18870,Actor
11,Justin Bieber,Career_error,VisTxtCont,"
Professional athlete.",Professional,mis_knowledge2,singer and songwriter,18,18,9,Actor/Model.,18870,Actor
12,Rihanna,Career_error,VisTxtCont,"
Chef, actress, businesswoman.",Chef,mis_knowledge1,"singer, actress, and businesswoman",18,18,9,Singer-songwriter.,50,S
12,Rihanna,Career_error,VisTxtParam,"
Singer, architect, businesswoman.",S,mis_knowledge2,"singer, actress, and businesswoman",18,18,9,Singer-songwriter.,50,S
13,LeBron James,location_error,VisTxtParam,"
American.",American,mis_knowledge1,American,18,18,9,American.,28418,American
13,LeBron James,location_error,VisTxtParam,"
American.",American,mis_knowledge2,American,18,18,9,American.,28418,American
13,LeBron James,Career_error,VisParam_TxtCont,"
Professional basketball player.",Professional,mis_knowledge1,professional basketball player,18,18,9,Basketball player.,73649,Basket
13,LeBron James,Career_error,VisParam_TxtCont,"
Professional basketball player.",Professional,mis_knowledge2,professional basketball player,18,18,9,Basketball player.,73649,Basket
14,Bill Gates,Temporal_error,VisTxtCont,"
1956",1,mis_knowledge1,1955,18,18,9,1954,16,1
14,Bill Gates,Temporal_error,VisTxtCont,"
1954",1,mis_knowledge2,1955,18,18,9,1954,16,1
14,Bill Gates,location_error,VisTxtParam,"
American",American,mis_knowledge1,American,18,18,9,American.,28418,American
14,Bill Gates,location_error,VisTxtParam,"
American",American,mis_knowledge2,American,18,18,9,American.,28418,American
14,Bill Gates,Career_error,VisTxtCont,"
Professional chef.",Professional,mis_knowledge1,"business magnate, software developer, and philanthropist",18,18,9,Software Engineer.,19250,Software
14,Bill Gates,Career_error,VisParam_TxtCont,"
Philanthropist.",Phil,mis_knowledge2,"business magnate, software developer, and philanthropist",18,18,9,Software Engineer.,19250,Software
15,Jeff Bezos,location_error,VisTxtParam,"
American.",American,mis_knowledge1,American,18,18,9,American.,28418,American
15,Jeff Bezos,location_error,VisTxtParam,"
American.",American,mis_knowledge2,American,18,18,9,American.,28418,American
15,Jeff Bezos,Career_error,VisParam_TxtCont,"
Founder of Amazon.",Founder,mis_knowledge1,entrepreneur and founder of Amazon,18,18,9,Entrepreneur.,70588,Entre
15,Jeff Bezos,Career_error,VisTxtParam,"
Founder of Amazon.",Founder,mis_knowledge2,entrepreneur and founder of Amazon,18,18,9,Entrepreneur.,70588,Entre
16,Mark Zuckerberg,location_error,VisTxtCont,"
Canadian.",Canadian,mis_knowledge1,American,18,18,9,American.,28418,American
16,Mark Zuckerberg,location_error,VisTxtParam,"
American",American,mis_knowledge2,American,18,18,9,American.,28418,American
16,Mark Zuckerberg,Career_error,VisTxtCont,"
Professional chef.",Professional,mis_knowledge1,technology entrepreneur and CEO of Meta (formerly Facebook),18,18,9,Entrepreneur.,70588,Entre
16,Mark Zuckerberg,Career_error,VisTxtCont,"
Civil engineer.",Civil,mis_knowledge2,technology entrepreneur and CEO of Meta (formerly Facebook),18,18,9,Entrepreneur.,70588,Entre
17,Ariana Grande,Temporal_error,VisTxtCont,"
1992",1,mis_knowledge1,1993,18,18,9,1986,16,1
17,Ariana Grande,Temporal_error,VisTxtCont,"
1994",1,mis_knowledge2,1993,18,18,9,1986,16,1
17,Ariana Grande,location_error,VisTxtCont,"
Canadian.",Canadian,mis_knowledge1,American,18,18,9,American.,28418,American
17,Ariana Grande,location_error,VisTxtCont,"
Mexican.",Mex,mis_knowledge2,American,18,18,9,American.,28418,American
17,Ariana Grande,Career_error,VisTxtCont,"
Chef and actress.",Chef,mis_knowledge1,singer and actress,18,18,9,Singer-songwriter.,50,S
17,Ariana Grande,Career_error,VisTxtCont,"
Singer and architect.",S,mis_knowledge2,singer and actress,18,18,9,Singer-songwriter.,50,S
18,Lady Gaga,location_error,VisTxtCont,"
Canadian.",Canadian,mis_knowledge1,American,18,18,9,American actress.,28418,American
18,Lady Gaga,location_error,VisTxtCont,"
Mexican.",Mex,mis_knowledge2,American,18,18,9,American actress.,28418,American
18,Lady Gaga,Career_error,VisParam_TxtCont,"
Singer-songwriter.",S,mis_knowledge1,"singer, songwriter, and actress",18,18,9,Singer-songwriter.,50,S
18,Lady Gaga,Career_error,VisTxtParam,"
Singer, architect, actress.",S,mis_knowledge2,"singer, songwriter, and actress",18,18,9,Singer-songwriter.,50,S
19,Chris Hemsworth,Career_error,VisTxtParam,"
Actor.",Actor,mis_knowledge1,actor,18,18,9,Actor/Actress.,18870,Actor
19,Chris Hemsworth,Career_error,VisTxtParam,"
Actor.",Actor,mis_knowledge2,actor,18,18,9,Actor/Actress.,18870,Actor
20,Scarlett Johansson,location_error,VisTxtCont,"
Canadian.",Canadian,mis_knowledge1,American,18,18,9,American actress.,28418,American
20,Scarlett Johansson,location_error,VisParam_TxtCont,"
American",American,mis_knowledge2,American,18,18,9,American actress.,28418,American
20,Scarlett Johansson,Career_error,VisTxtParam,"
Actress",Act,mis_knowledge1,actress and singer,18,18,9,Actress.,2414,Act
20,Scarlett Johansson,Career_error,VisTxtParam,"
Actress",Act,mis_knowledge2,actress and singer,18,18,9,Actress.,2414,Act
21,Brad Pitt,location_error,VisCont_TxtParam,"
Canadian.",Canadian,mis_knowledge1,American,18,18,9,American actor.,28418,American
21,Brad Pitt,location_error,VisTxtParam,"
American.",American,mis_knowledge2,American,18,18,9,American actor.,28418,American
21,Brad Pitt,Career_error,VisTxtParam,"
Film producer.",Film,mis_knowledge1,actor and film producer,18,18,9,Actor/Actress,18870,Actor
21,Brad Pitt,Career_error,VisTxtParam,"
Film producer.",Film,mis_knowledge2,actor and film producer,18,18,9,Actor/Actress,18870,Actor
22,Johnny Depp,location_error,VisTxtCont,"
Canadian.",Canadian,mis_knowledge1,American,18,18,9,American actor.,28418,American
22,Johnny Depp,location_error,VisCont_TxtParam,"
Mexican.",Mex,mis_knowledge2,American,18,18,9,American actor.,28418,American
22,Johnny Depp,Career_error,VisParam_TxtCont,"
Actor.",Actor,mis_knowledge1,actor and musician,18,18,9,Actor/actress.,18870,Actor
22,Johnny Depp,Career_error,VisTxtParam,"
Actor.",Actor,mis_knowledge2,actor and musician,18,18,9,Actor/actress.,18870,Actor
23,Will Smith,location_error,VisTxtCont,"
Canadian.",Canadian,mis_knowledge1,American,18,18,9,American actor.,28418,American
23,Will Smith,location_error,VisTxtParam,"
American.",American,mis_knowledge2,American,18,18,9,American actor.,28418,American
23,Will Smith,Career_error,VisParam_TxtCont,"
Actor, rapper, producer.",Actor,mis_knowledge1,"actor, rapper, and producer",18,18,9,Actor/Entertainer.,18870,Actor
23,Will Smith,Career_error,VisTxtParam,"
Actor, producer.",Actor,mis_knowledge2,"actor, rapper, and producer",18,18,9,Actor/Entertainer.,18870,Actor
24,Kevin Hart,Temporal_error,VisTxtCont,"
1978",1,mis_knowledge1,1979,18,18,9,1974,16,1
24,Kevin Hart,Temporal_error,VisTxtCont,"
1980",1,mis_knowledge2,1979,18,18,9,1974,16,1
24,Kevin Hart,location_error,VisTxtCont,"
Canadian.",Canadian,mis_knowledge1,American,18,18,9,American actor.,28418,American
24,Kevin Hart,location_error,VisParam_TxtCont,"
American.",American,mis_knowledge2,American,18,18,9,American actor.,28418,American
24,Kevin Hart,Career_error,VisParam_TxtCont,"
Actor and comedian.",Actor,mis_knowledge1,comedian and actor,18,18,9,Actor/Comedian,18870,Actor
24,Kevin Hart,Career_error,VisTxtParam,"
Actor and comedian.",Actor,mis_knowledge2,comedian and actor,18,18,9,Actor/Comedian,18870,Actor
25,The Rock,location_error,VisCont_TxtParam,"
Canadian",Canadian,mis_knowledge1,[American],18,18,9,American actor.,28418,American
25,The Rock,location_error,VisCont_TxtParam,"
Mexican.",Mex,mis_knowledge2,[American],18,18,9,American actor.,28418,American
25,The Rock,Career_error,VisTxtParam,"
Actor, wrestler.",Actor,mis_knowledge1,"[professional wrestler, actor, and former football player]",18,18,9,Actor/actress.,18870,Actor
25,The Rock,Career_error,VisParam_TxtCont,"
Actor, wrestler, producer.",Actor,mis_knowledge2,"[professional wrestler, actor, and former football player]",18,18,9,Actor/actress.,18870,Actor
26,Emma Watson,location_error,VisTxtCont,"
Irish.",Ir,mis_knowledge1,British,18,18,9,British,51861,British
26,Emma Watson,location_error,VisTxtCont,"
French.",French,mis_knowledge2,British,18,18,9,British,51861,British
26,Emma Watson,Career_error,VisTxtCont,"
Novelist and activist.",Nov,mis_knowledge1,actress and activist,18,18,9,Actress.,2414,Act
26,Emma Watson,Career_error,VisTxtCont,"
Chef and activist.",Chef,mis_knowledge2,actress and activist,18,18,9,Actress.,2414,Act
27,Daniel Radcliffe,Career_error,VisParam_TxtCont,"
Actor.",Actor,mis_knowledge1,actor,18,18,9,Actor/Actress,18870,Actor
27,Daniel Radcliffe,Career_error,VisTxtCont,"
Software engineer.",Software,mis_knowledge2,actor,18,18,9,Actor/Actress,18870,Actor
28,Selena Gomez,location_error,VisTxtCont,"
Canadian.",Canadian,mis_knowledge1,American,18,18,9,American.,28418,American
28,Selena Gomez,location_error,VisTxtCont,"
Mexican.",Mex,mis_knowledge2,American,18,18,9,American.,28418,American
28,Selena Gomez,Career_error,VisTxtCont,"
Chef, actress, producer.",Chef,mis_knowledge1,"singer, actress, and producer",18,18,9,Model/Actor.,1712,Model
28,Selena Gomez,Career_error,VisTxtParam,"
Singer, architect, producer.",S,mis_knowledge2,"singer, actress, and producer",18,18,9,Model/Actor.,1712,Model
29,Zendaya,location_error,VisTxtCont,"
Canadian.",Canadian,mis_knowledge1,American,18,18,9,American actress.,28418,American
29,Zendaya,location_error,VisTxtCont,"
Mexican.",Mex,mis_knowledge2,American,18,18,9,American actress.,28418,American
29,Zendaya,Career_error,VisParam_TxtCont,"
Singer, actress, producer.",S,mis_knowledge1,"actress, singer, and producer",18,18,9,Actress.,2414,Act
29,Zendaya,Career_error,VisTxtParam,"
Actress.",Act,mis_knowledge2,"actress, singer, and producer",18,18,9,Actress.,2414,Act
30,Tom Holland,location_error,VisTxtCont,"
Irish.",Ir,mis_knowledge1,British,18,18,9,American actor.,28418,American
30,Tom Holland,location_error,VisTxtCont,"
French.",French,mis_knowledge2,British,18,18,9,American actor.,28418,American
30,Tom Holland,Career_error,VisParam_TxtCont,"
Actor.",Actor,mis_knowledge1,actor,18,18,9,Actor/Actress,18870,Actor
30,Tom Holland,Career_error,VisTxtCont,"
Software engineer.",Software,mis_knowledge2,actor,18,18,9,Actor/Actress,18870,Actor
31,Chris Pratt,Temporal_error,VisTxtCont,"
1978",1,mis_knowledge1,1979,18,18,9,1976,16,1
31,Chris Pratt,Temporal_error,VisTxtCont,"
1980",1,mis_knowledge2,1979,18,18,9,1976,16,1
31,Chris Pratt,location_error,VisTxtCont,"
Canadian.",Canadian,mis_knowledge1,American,18,18,9,American actor.,28418,American
31,Chris Pratt,location_error,VisTxtCont,"
Mexican.",Mex,mis_knowledge2,American,18,18,9,American actor.,28418,American
31,Chris Pratt,Career_error,VisParam_TxtCont,"
Actor.",Actor,mis_knowledge1,actor,18,18,9,Actor/Actress,18870,Actor
31,Chris Pratt,Career_error,VisParam_TxtCont,"
Actor.",Actor,mis_knowledge2,actor,18,18,9,Actor/Actress,18870,Actor
32,Jennifer Lawrence,location_error,VisTxtCont,"
Canadian.",Canadian,mis_knowledge1,American,18,18,9,American actress.,28418,American
32,Jennifer Lawrence,location_error,VisParam_TxtCont,"
American.",American,mis_knowledge2,American,18,18,9,American actress.,28418,American
32,Jennifer Lawrence,Career_error,VisParam_TxtCont,"
Actress",Act,mis_knowledge1,actress,18,18,9,Actress.,2414,Act
32,Jennifer Lawrence,Career_error,VisTxtParam,"
Actress",Act,mis_knowledge2,actress,18,18,9,Actress.,2414,Act
33,Gal Gadot,Career_error,VisParam_TxtCont,"
Model and actress.",Model,mis_knowledge1,actress and model,18,18,9,Actress.,2414,Act
33,Gal Gadot,Career_error,VisTxtParam,"
Actress",Act,mis_knowledge2,actress and model,18,18,9,Actress.,2414,Act
34,Henry Cavill,location_error,VisTxtCont,"
Irish actor.",Ir,mis_knowledge1,British,18,18,9,British actor,51861,British
34,Henry Cavill,location_error,VisTxtCont,"
French.",French,mis_knowledge2,British,18,18,9,British actor,51861,British
34,Henry Cavill,Career_error,VisTxtCont,"
Chef.",Chef,mis_knowledge1,actor,18,18,9,Actor/Actress.,18870,Actor
34,Henry Cavill,Career_error,VisTxtParam,"
Actor.",Actor,mis_knowledge2,actor,18,18,9,Actor/Actress.,18870,Actor
35,Benedict Cumberbatch,Temporal_error,VisTxtCont,"
1975.",1,mis_knowledge1,1976,18,18,9,1980,16,1
35,Benedict Cumberbatch,Temporal_error,VisTxtCont,"
1977",1,mis_knowledge2,1976,18,18,9,1980,16,1
35,Benedict Cumberbatch,location_error,VisTxtCont,"
Irish.",Ir,mis_knowledge1,British,18,18,9,British actor.,51861,British
