,ID,Entity,Category,Group,Original_output,Original_top_token,Mis_Knowledge_Key,Parametric_ans,src_start,dst_start,num_layers,New_Answer,TopDecodedTokenID,TopDecodedToken,Pred
0,1,Taylor Swift,Temporal_error,VisTxtCont,1988,1,mis_knowledge1,1989,0,0,12,1948,236770,1,INCORRECT
1,1,Taylor Swift,Temporal_error,VisTxtCont,1990,1,mis_knowledge2,1989,0,0,12,1948,236770,1,INCORRECT
2,1,Taylor Swift,location_error,VisTxtCont,Canadian,Canadian,mis_knowledge1,American,0,0,12,American.,14645,American,CORRECT
3,1,Taylor Swift,location_error,VisTxtCont,Mexican,Mexican,mis_knowledge2,American,0,0,12,American.,14645,American,CORRECT
4,1,Taylor Swift,Career_error,VisTxtCont,Novelist.,Nov,mis_knowledge1,singer-songwriter,0,0,12,Tennis player.,150484,Tennis,INCORRECT
5,1,Taylor Swift,Career_error,VisTxtCont,Chef.,Chef,mis_knowledge2,singer-songwriter,0,0,12,Tennis player.,150484,Tennis,INCORRECT
6,2,Elon Musk,Temporal_error,VisTxtCont,1970,1,mis_knowledge1,1971,0,0,12,1946,236770,1,INCORRECT
7,2,Elon Musk,Temporal_error,VisTxtCont,1972,1,mis_knowledge2,1971,0,0,12,1946,236770,1,INCORRECT
8,2,Elon Musk,location_error,VisTxtCont,South African-British-American,South,mis_knowledge1,South African-Canadian-American,0,0,12,American.,14645,American,INCORRECT
9,2,Elon Musk,location_error,VisTxtCont,Zimbabwean-Canadian-American,Zimbabwe,mis_knowledge2,South African-Canadian-American,0,0,12,American.,14645,American,INCORRECT
10,2,Elon Musk,Career_error,VisTxtCont,Professional athlete,Professional,mis_knowledge1,"business magnate, investor, and engineer",0,0,12,"Philosopher, businessman",154915,Philos,INCORRECT
11,2,Elon Musk,Career_error,VisTxtCont,Chef,Chef,mis_knowledge2,"business magnate, investor, and engineer",0,0,12,"Philosopher, businessman",154915,Philos,INCORRECT
12,3,Cristiano Ronaldo,Temporal_error,VisTxtCont,1984,1,mis_knowledge1,1985,0,0,12,1980,236770,1,INCORRECT
13,3,Cristiano Ronaldo,Temporal_error,VisTxtCont,1986,1,mis_knowledge2,1985,0,0,12,1980,236770,1,INCORRECT
14,3,Cristiano Ronaldo,location_error,VisParam_TxtCont,Portuguese.,Portuguese,mis_knowledge1,Portuguese,0,0,12,Portuguese.,227601,Portuguese,CORRECT
15,3,Cristiano Ronaldo,location_error,VisTxtCont,Andorran,And,mis_knowledge2,Portuguese,0,0,12,Portuguese.,227601,Portuguese,CORRECT
16,3,Cristiano Ronaldo,Career_error,VisParam_TxtCont,Professional soccer player.,Professional,mis_knowledge1,professional footballer,0,0,12,Tennis player.,150484,Tennis,INCORRECT
17,3,Cristiano Ronaldo,Career_error,VisParam_TxtCont,Professional soccer player,Professional,mis_knowledge2,professional footballer,0,0,12,Tennis player.,150484,Tennis,INCORRECT
18,4,Dwayne Johnson,Temporal_error,VisTxtCont,1971,1,mis_knowledge1,1972,0,0,12,1940,236770,1,INCORRECT
19,4,Dwayne Johnson,Temporal_error,VisTxtCont,1973,1,mis_knowledge2,1972,0,0,12,1940,236770,1,INCORRECT
20,4,Dwayne Johnson,Career_error,VisTxtCont,"Actor, producer, chef.",Actor,mis_knowledge1,"professional wrestler, actor, and producer",0,0,12,Actor.,55091,Actor,CORRECT
21,4,Dwayne Johnson,Career_error,VisParam_TxtCont,"Professional wrestler, producer.",Professional,mis_knowledge2,"professional wrestler, actor, and producer",0,0,12,Actor.,55091,Actor,CORRECT
22,5,Kim Kardashian,Temporal_error,VisTxtCont,1981,1,mis_knowledge1,1980,0,0,12,1986,236770,1,INCORRECT
23,5,Kim Kardashian,Temporal_error,VisTxtCont,1979,1,mis_knowledge2,1980,0,0,12,1986,236770,1,INCORRECT
24,5,Kim Kardashian,location_error,VisTxtCont,Canadian,Canadian,mis_knowledge1,American,0,0,12,American.,14645,American,CORRECT
25,5,Kim Kardashian,location_error,VisTxtCont,Mexican,Mexican,mis_knowledge2,American,0,0,12,American.,14645,American,CORRECT
26,5,Kim Kardashian,Career_error,VisTxtCont,Socialite and chef.,Social,mis_knowledge1,"media personality, businesswoman, and socialite",0,0,12,Television personality,166572,Television,CORRECT
27,5,Kim Kardashian,Career_error,VisTxtCont,"Software engineer, socialite.",Software,mis_knowledge2,"media personality, businesswoman, and socialite",0,0,12,Television personality,166572,Television,CORRECT
28,6,Kanye West,Temporal_error,VisTxtCont,1978,1,mis_knowledge1,1977,0,0,12,1942,236770,1,INCORRECT
29,6,Kanye West,Temporal_error,VisTxtCont,1976,1,mis_knowledge2,1977,0,0,12,1942,236770,1,INCORRECT
30,6,Kanye West,location_error,VisTxtCont,Canadian,Canadian,mis_knowledge1,American,0,0,12,American.,14645,American,CORRECT
31,6,Kanye West,location_error,VisTxtCont,Mexican,Mexican,mis_knowledge2,American,0,0,12,American.,14645,American,CORRECT
32,6,Kanye West,Career_error,VisTxtCont,"Chef, producer, designer",Chef,mis_knowledge1,"rapper, producer, and fashion designer",0,0,12,Basketball player.,203403,Basketball,INCORRECT
33,6,Kanye West,Career_error,VisParam_TxtCont,"Rapper, architect, designer.",R,mis_knowledge2,"rapper, producer, and fashion designer",0,0,12,Basketball player.,203403,Basketball,INCORRECT
34,7,Barack Obama,Temporal_error,VisTxtParam,1961,1,mis_knowledge1,1961,0,0,12,1967,236770,1,INCORRECT
35,7,Barack Obama,Temporal_error,VisTxtCont,1962,1,mis_knowledge2,1961,0,0,12,1967,236770,1,INCORRECT
36,7,Barack Obama,location_error,VisTxtCont,Canadian,Canadian,mis_knowledge1,[American],0,0,12,American.,14645,American,CORRECT
