,ID,Entity,Category,Group,Original_output,Original_top_token,Mis_Knowledge_Key,Parametric_ans,src_start,dst_start,num_layers,New_Answer,TopDecodedTokenID,TopDecodedToken,Pred
0,1,Taylor Swift,Temporal_error,VisTxtCont,1988,1,mis_knowledge1,1989,0,0,2,1989,236770,1,CORRECT
1,1,Taylor Swift,Temporal_error,VisTxtCont,1990,1,mis_knowledge2,1989,0,0,2,1989,236770,1,CORRECT
2,1,Taylor Swift,location_error,VisTxtCont,Canadian,Canadian,mis_knowledge1,American,0,0,2,American.,14645,American,CORRECT
3,1,Taylor Swift,location_error,VisTxtCont,Mexican,Mexican,mis_knowledge2,American,0,0,2,American.,14645,American,CORRECT
4,1,Taylor Swift,Career_error,VisTxtCont,Novelist.,Nov,mis_knowledge1,singer-songwriter,0,0,2,Singer-songwriter,119783,Singer,CORRECT
5,1,Taylor Swift,Career_error,VisTxtCont,Chef.,Chef,mis_knowledge2,singer-songwriter,0,0,2,Singer-songwriter,119783,Singer,CORRECT
6,2,Elon Musk,Temporal_error,VisTxtCont,1970,1,mis_knowledge1,1971,0,0,2,1971,236770,1,CORRECT
7,2,Elon Musk,Temporal_error,VisTxtCont,1972,1,mis_knowledge2,1971,0,0,2,1971,236770,1,CORRECT
8,2,Elon Musk,location_error,VisTxtCont,South African-British-American,South,mis_knowledge1,South African-Canadian-American,0,0,2,South African-American-Canadian,23425,South,INCORRECT
9,2,Elon Musk,location_error,VisTxtCont,Zimbabwean-Canadian-American,Zimbabwe,mis_knowledge2,South African-Canadian-American,0,0,2,South African-American-Canadian,23425,South,INCORRECT
10,2,Elon Musk,Career_error,VisTxtCont,Professional athlete,Professional,mis_knowledge1,"business magnate, investor, and engineer",0,0,2,"Entrepreneur, Engineer",180673,Entrepreneur,INCORRECT
11,2,Elon Musk,Career_error,VisTxtCont,Chef,Chef,mis_knowledge2,"business magnate, investor, and engineer",0,0,2,"Entrepreneur, Engineer",180673,Entrepreneur,INCORRECT
12,3,Cristiano Ronaldo,Temporal_error,VisTxtCont,1984,1,mis_knowledge1,1985,0,0,2,1985,236770,1,CORRECT
13,3,Cristiano Ronaldo,Temporal_error,VisTxtCont,1986,1,mis_knowledge2,1985,0,0,2,1985,236770,1,CORRECT
14,3,Cristiano Ronaldo,location_error,VisParam_TxtCont,Portuguese.,Portuguese,mis_knowledge1,Portuguese,0,0,2,Portuguese.,227601,Portuguese,CORRECT
15,3,Cristiano Ronaldo,location_error,VisTxtCont,Andorran,And,mis_knowledge2,Portuguese,0,0,2,Portuguese.,227601,Portuguese,CORRECT
16,3,Cristiano Ronaldo,Career_error,VisParam_TxtCont,Professional soccer player.,Professional,mis_knowledge1,professional footballer,0,0,2,Footballer.,64775,Football,CORRECT
17,3,Cristiano Ronaldo,Career_error,VisParam_TxtCont,Professional soccer player,Professional,mis_knowledge2,professional footballer,0,0,2,Footballer.,64775,Football,CORRECT
18,4,Dwayne Johnson,Temporal_error,VisTxtCont,1971,1,mis_knowledge1,1972,0,0,2,1972,236770,1,CORRECT
19,4,Dwayne Johnson,Temporal_error,VisTxtCont,1973,1,mis_knowledge2,1972,0,0,2,1972,236770,1,CORRECT
20,4,Dwayne Johnson,Career_error,VisTxtCont,"Actor, producer, chef.",Actor,mis_knowledge1,"professional wrestler, actor, and producer",0,0,2,"Actor, wrestler",55091,Actor,CORRECT
21,4,Dwayne Johnson,Career_error,VisParam_TxtCont,"Professional wrestler, producer.",Professional,mis_knowledge2,"professional wrestler, actor, and producer",0,0,2,"Actor, wrestler",55091,Actor,CORRECT
22,5,Kim Kardashian,Temporal_error,VisTxtCont,1981,1,mis_knowledge1,1980,0,0,2,1980,236770,1,CORRECT
23,5,Kim Kardashian,Temporal_error,VisTxtCont,1979,1,mis_knowledge2,1980,0,0,2,1980,236770,1,CORRECT
24,5,Kim Kardashian,location_error,VisTxtCont,Canadian,Canadian,mis_knowledge1,American,0,0,2,American.,14645,American,CORRECT
25,5,Kim Kardashian,location_error,VisTxtCont,Mexican,Mexican,mis_knowledge2,American,0,0,2,American.,14645,American,CORRECT
26,5,Kim Kardashian,Career_error,VisTxtCont,Socialite and chef.,Social,mis_knowledge1,"media personality, businesswoman, and socialite",0,0,2,Reality television star,211284,Reality,CORRECT
27,5,Kim Kardashian,Career_error,VisTxtCont,"Software engineer, socialite.",Software,mis_knowledge2,"media personality, businesswoman, and socialite",0,0,2,Reality television star,211284,Reality,CORRECT
28,6,Kanye West,Temporal_error,VisTxtCont,1978,1,mis_knowledge1,1977,0,0,2,1977,236770,1,CORRECT
29,6,Kanye West,Temporal_error,VisTxtCont,1976,1,mis_knowledge2,1977,0,0,2,1977,236770,1,CORRECT
30,6,Kanye West,location_error,VisTxtCont,Canadian,Canadian,mis_knowledge1,American,0,0,2,American.,14645,American,CORRECT
31,6,Kanye West,location_error,VisTxtCont,Mexican,Mexican,mis_knowledge2,American,0,0,2,American.,14645,American,CORRECT
